insightTrafficSourceDetail,views,estimatedMinutesWatched
Z2_z0HssrQo,121,491
4HGNcxt7ZaQ,43,294
kzYciQsZqTM,40,187
isVEfRLvFiE,21,237
GHhLgD4e-JQ,16,169
Fv8HbB3_MkI,14,158
yDLby_xxEhQ,14,121
Fe5DlqRh6pY,13,68
o9lUtQVCB24,11,155
65Rt60nwYwg,10,81
xzMWiHwD_PY,10,25
YO7lMaqjy1A,9,119
VBeg3BQbc7k,8,67
XQ3mfQ9ca9E,8,3
tTUkyBXAqRQ,8,28
GIn09xjGLyM,7,26
SpzWwqbW8_I,7,205
bN1-YXwOIsk,7,19
vhxEpQk0cAo,7,10
93CssslGZvc,6,5
CjyA15fqe8U,6,11
HeJk_jvRFJg,6,46
J0iuzSLBRqY,6,7
PalzhDAYijQ,6,12
S1lzT6hd_2g,6,292
